nOrgNum,sCommonName,sFormulaMolec,source_file,sCASRegistryNum
1,"1,3-dimethylimidazolium chloride",C5H9ClN2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-009-0651-x.xml,
3,dimethylformamide,C3H7NO,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-009-0648-5.xml,
4,1-methyl-3-propylimidazolium bromide,C7H13BrN2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-009-0648-5.xml,
1,dodecanamine hydrochloride,C12H28ClN,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-009-0675-2.xml,
1,2-pyrrolidinone,C4H7NO,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0717-9.xml,
5,cyclooctane,C8H16,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-009-0667-2.xml,
2,dimethyl ether,C2H6O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0718-8.xml,
3,sodium chloride,ClNa,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0725-9.xml,
4,calcium chloride,CaCl2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0725-9.xml,
5,sodium sulfate,Na2O4S,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0725-9.xml,
2,3-methylbutan-1-ol,C5H12O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0719-7.xml,
3,2-ethoxyethan-1-ol,C4H10O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0719-7.xml,
4,2-butoxyethan-1-ol,C6H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0719-7.xml,
2,"cis-1,4-butenedioic acid",C4H4O4,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0736-6.xml,
3,"2,3-dihydroxybutanedioic acid",C4H6O6,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0736-6.xml,
1,2-aminoacetic acid,C2H5NO2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0742-8.xml,
3,(.+-.)-phenylalanine,C9H11NO2,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0742-8.xml,
4,glycylglycine,C4H8N2O3,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0742-8.xml,
5,(+)-galactose,C6H12O6,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0742-8.xml,
1,cyclohexylamine,C6H13N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0752-6.xml,
3,butanone,C4H8O,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0752-6.xml,
5,2-methyl-2-propanamine,C4H11N,C:\Users\harry\.thermoml\extracted_xml\10.1007\s10765-010-0752-6.xml,
